Month,Time Series,Machine Learning,Data Science,Big Data,Artificial Intelligence
2004-01,36,16,8,3,65
2004-02,40,22,10,5,78
2004-03,47,23,8,2,64
2004-04,48,19,9,3,61
2004-05,39,17,7,3,55
2004-06,45,13,6,5,48
2004-07,38,17,8,4,50
2004-08,37,11,8,4,54
2004-09,37,14,8,3,55
2004-10,44,17,8,3,54
2004-11,39,15,6,3,59
2004-12,39,15,8,4,48
2005-01,35,14,7,4,45
2005-02,40,14,7,4,49
2005-03,36,16,7,4,52
2005-04,40,14,5,3,41
2005-05,36,15,7,3,41
2005-06,33,14,6,4,35
2005-07,30,12,5,4,32
2005-08,32,11,7,4,35
2005-09,32,11,6,3,41
2005-10,43,12,6,4,39
2005-11,34,13,7,3,40
2005-12,31,13,3,2,32
2006-01,30,12,6,3,29
2006-02,30,11,5,3,35
2006-03,31,14,6,3,35
2006-04,32,12,6,3,33
2006-05,28,10,5,4,31
2006-06,24,9,5,3,26
2006-07,24,7,4,3,21
2006-08,25,9,4,3,23
2006-09,26,10,6,3,35
2006-10,32,11,6,3,33
2006-11,26,9,6,3,31
2006-12,21,10,3,2,23
2007-01,23,10,5,3,22
2007-02,25,9,6,3,23
2007-03,26,10,5,3,27
2007-04,26,10,5,2,23
2007-05,27,10,5,3,21
2007-06,27,8,5,3,20
2007-07,25,8,4,3,20
2007-08,25,8,4,3,19
2007-09,26,8,5,2,22
2007-10,35,10,6,4,23
2007-11,27,11,5,3,21
2007-12,24,9,4,2,20
2008-01,22,8,5,3,20
2008-02,25,9,5,3,21
2008-03,27,8,5,3,21
2008-04,29,9,4,3,19
2008-05,25,8,4,3,18
2008-06,25,7,5,3,17
2008-07,23,7,3,3,16
2008-08,23,7,4,3,17
2008-09,23,8,6,4,18
2008-10,32,8,5,4,18
2008-11,27,10,4,4,18
2008-12,23,8,4,3,16
2009-01,24,8,5,3,18
2009-02,26,9,5,3,19
2009-03,26,9,5,3,20
2009-04,26,10,5,3,20
2009-05,26,9,4,3,18
2009-06,25,7,4,3,17
2009-07,24,8,4,3,20
2009-08,25,7,4,3,21
2009-09,26,8,5,4,20
2009-10,34,8,5,3,19
2009-11,37,10,6,3,19
2009-12,27,8,5,3,20
2010-01,27,8,6,4,20
2010-02,27,9,5,3,20
2010-03,29,9,5,4,21
2010-04,31,9,5,4,19
2010-05,32,9,4,3,19
2010-06,28,8,4,4,16
2010-07,25,7,4,3,15
2010-08,26,7,4,4,17
2010-09,27,8,6,4,18
2010-10,40,8,5,4,22
2010-11,32,9,6,4,19
2010-12,25,8,4,4,17
2011-01,26,8,6,5,17
2011-02,27,9,5,5,19
2011-03,29,8,4,5,18
2011-04,30,8,4,4,18
2011-05,28,9,5,6,16
2011-06,28,8,4,6,15
2011-07,28,8,4,5,16
2011-08,27,8,5,6,17
2011-09,30,10,6,7,21
2011-10,55,12,5,8,25
2011-11,37,12,6,9,24
2011-12,34,11,5,8,22
2012-01,37,10,6,10,19
2012-02,37,10,6,14,19
2012-03,36,11,5,15,20
2012-04,40,11,5,16,18
2012-05,39,11,5,18,17
2012-06,36,9,5,17,16
2012-07,35,10,5,18,16
2012-08,35,10,6,19,16
